paper_id,reviewer_id,constraint
paper-000,reviewer-000,-1
paper-000,reviewer-020,-1
paper-001,reviewer-001,-1
paper-001,reviewer-021,-1
paper-002,reviewer-002,-1
paper-002,reviewer-022,-1
paper-003,reviewer-003,-1
paper-003,reviewer-023,-1
paper-004,reviewer-004,-1
paper-004,reviewer-024,-1
paper-005,reviewer-005,-1
paper-005,reviewer-025,-1
paper-006,reviewer-006,-1
paper-006,reviewer-026,-1
paper-007,reviewer-007,-1
paper-007,reviewer-027,-1
paper-008,reviewer-008,-1
paper-008,reviewer-028,-1
paper-009,reviewer-009,-1
paper-009,reviewer-029,-1
paper-010,reviewer-010,-1
paper-011,reviewer-011,-1
paper-012,reviewer-012,-1
paper-013,reviewer-013,-1
paper-014,reviewer-014,-1
paper-015,reviewer-015,-1
paper-016,reviewer-016,-1
paper-017,reviewer-017,-1
paper-018,reviewer-018,-1
paper-019,reviewer-019,-1
