reviewer_id,max_load,min_load,seniority,region,authored_paper_ids,coauthor_reviewer_ids
reviewer-000,3,0,1,0,"[""paper-000""]","[""reviewer-001""]"
reviewer-001,3,0,1,1,"[""paper-001""]","[""reviewer-000""]"
reviewer-002,3,0,1,2,"[""paper-002""]","[""reviewer-003""]"
reviewer-003,3,0,1,3,"[""paper-003""]","[""reviewer-002""]"
reviewer-004,3,0,1,4,"[""paper-004""]","[""reviewer-005""]"
reviewer-005,3,0,1,0,"[""paper-005""]","[""reviewer-004""]"
reviewer-006,3,0,1,1,"[""paper-006""]","[""reviewer-007""]"
reviewer-007,3,0,1,2,"[""paper-007""]","[""reviewer-006""]"
reviewer-008,3,0,1,3,"[""paper-008""]","[""reviewer-009""]"
reviewer-009,3,0,1,4,"[""paper-009""]","[""reviewer-008""]"
reviewer-010,3,0,1,0,"[""paper-010""]","[""reviewer-011""]"
reviewer-011,3,0,1,1,"[""paper-011""]","[""reviewer-010""]"
reviewer-012,3,0,1,2,"[""paper-012""]","[""reviewer-013""]"
reviewer-013,3,0,1,3,"[""paper-013""]","[""reviewer-012""]"
reviewer-014,3,0,1,4,"[""paper-014""]","[""reviewer-015""]"
reviewer-015,3,0,0,0,"[""paper-015""]","[""reviewer-014""]"
reviewer-016,3,0,0,1,"[""paper-016""]","[""reviewer-017""]"
reviewer-017,3,0,0,2,"[""paper-017""]","[""reviewer-016""]"
reviewer-018,3,0,0,3,"[""paper-018""]","[""reviewer-019""]"
reviewer-019,3,0,0,4,"[""paper-019""]","[""reviewer-018""]"
reviewer-020,3,0,0,0,"[""paper-000""]","[""reviewer-021""]"
reviewer-021,3,0,0,1,"[""paper-001""]","[""reviewer-020""]"
reviewer-022,3,0,0,2,"[""paper-002""]","[""reviewer-023""]"
reviewer-023,3,0,0,3,"[""paper-003""]","[""reviewer-022""]"
reviewer-024,3,0,0,4,"[""paper-004""]","[""reviewer-025""]"
reviewer-025,3,0,0,0,"[""paper-005""]","[""reviewer-024""]"
reviewer-026,3,0,0,1,"[""paper-006""]","[""reviewer-027""]"
reviewer-027,3,0,0,2,"[""paper-007""]","[""reviewer-026""]"
reviewer-028,3,0,0,3,"[""paper-008""]","[""reviewer-029""]"
reviewer-029,3,0,0,4,"[""paper-009""]","[""reviewer-028""]"
