paper_id,reviewer_id,score
paper-000,reviewer-000,0.55
paper-000,reviewer-003,0.94
paper-000,reviewer-006,0.58
paper-000,reviewer-009,0.97
paper-000,reviewer-012,0.61
paper-000,reviewer-015,0.25
paper-000,reviewer-018,0.64
paper-000,reviewer-021,0.28
paper-000,reviewer-024,0.67
paper-000,reviewer-027,0.31
paper-001,reviewer-001,0.85
paper-001,reviewer-004,0.49
paper-001,reviewer-007,0.88
paper-001,reviewer-010,0.52
paper-001,reviewer-013,0.91
paper-001,reviewer-017,0.68
paper-001,reviewer-020,0.32
paper-001,reviewer-023,0.71
paper-001,reviewer-026,0.35
paper-001,reviewer-029,0.74
paper-002,reviewer-002,0.4
paper-002,reviewer-005,0.79
paper-002,reviewer-008,0.43
paper-002,reviewer-011,0.82
paper-002,reviewer-014,0.46
paper-002,reviewer-016,0.72
paper-002,reviewer-019,0.36
paper-002,reviewer-022,0.75
paper-002,reviewer-025,0.39
paper-002,reviewer-028,0.78
paper-003,reviewer-000,0.31
paper-003,reviewer-003,0.7
paper-003,reviewer-006,0.34
paper-003,reviewer-009,0.73
paper-003,reviewer-012,0.37
paper-003,reviewer-015,0.76
paper-003,reviewer-018,0.4
paper-003,reviewer-021,0.79
paper-003,reviewer-024,0.43
paper-003,reviewer-027,0.82
paper-004,reviewer-001,0.61
paper-004,reviewer-004,0.25
paper-004,reviewer-007,0.64
paper-004,reviewer-010,0.28
paper-004,reviewer-013,0.67
paper-004,reviewer-017,0.44
paper-004,reviewer-020,0.83
paper-004,reviewer-023,0.47
paper-004,reviewer-026,0.86
paper-004,reviewer-029,0.5
paper-005,reviewer-002,0.91
paper-005,reviewer-005,0.55
paper-005,reviewer-008,0.94
paper-005,reviewer-011,0.58
paper-005,reviewer-014,0.97
paper-005,reviewer-016,0.48
paper-005,reviewer-019,0.87
paper-005,reviewer-022,0.51
paper-005,reviewer-025,0.9
paper-005,reviewer-028,0.54
paper-006,reviewer-000,0.82
paper-006,reviewer-003,0.46
paper-006,reviewer-006,0.85
paper-006,reviewer-009,0.49
paper-006,reviewer-012,0.88
paper-006,reviewer-015,0.52
paper-006,reviewer-018,0.91
paper-006,reviewer-021,0.55
paper-006,reviewer-024,0.94
